center_id,region,state,city,center_type,capacity_bucket
1,South,FL,City_1,rural,medium
2,Northeast,NY,City_2,urban,small
3,South,GA,City_3,urban,small
4,South,PA,City_4,urban,medium
5,Midwest,PA,City_5,urban,large
6,Northeast,MI,City_6,suburban,medium
7,Northeast,MI,City_7,urban,large
8,South,CA,City_8,urban,large
9,Northeast,CA,City_9,rural,medium
10,Northeast,OH,City_10,urban,large
11,Midwest,TX,City_11,urban,small
12,Midwest,FL,City_12,urban,medium
13,West,GA,City_13,urban,large
14,West,TX,City_14,suburban,medium
15,Midwest,PA,City_15,suburban,small
16,South,TX,City_16,suburban,large
17,Midwest,FL,City_17,suburban,large
18,West,OH,City_18,suburban,large
19,Northeast,TX,City_19,suburban,medium
20,Northeast,NC,City_20,urban,small
21,Northeast,OH,City_21,suburban,medium
22,West,GA,City_22,urban,small
23,West,CA,City_23,suburban,medium
24,Midwest,OH,City_24,suburban,large
25,Northeast,GA,City_25,suburban,small
26,South,OH,City_26,suburban,medium
27,West,GA,City_27,urban,medium
28,South,NY,City_28,rural,large
29,Northeast,MI,City_29,urban,small
30,South,NC,City_30,suburban,small
31,West,CA,City_31,urban,medium
32,West,FL,City_32,rural,small
33,Northeast,FL,City_33,rural,medium
34,South,PA,City_34,rural,medium
35,Midwest,NC,City_35,urban,medium
36,West,FL,City_36,rural,medium
37,Midwest,OH,City_37,rural,medium
38,Northeast,IL,City_38,urban,medium
39,West,NC,City_39,urban,small
40,South,NC,City_40,suburban,medium
