date,year,month,day,week,quarter,is_weekend,is_holiday
2023-01-01,2023,1,1,52,1,1,1
2023-01-02,2023,1,2,1,1,0,0
2023-01-03,2023,1,3,1,1,0,0
2023-01-04,2023,1,4,1,1,0,0
2023-01-05,2023,1,5,1,1,0,0
2023-01-06,2023,1,6,1,1,0,0
2023-01-07,2023,1,7,1,1,1,0
2023-01-08,2023,1,8,1,1,1,0
2023-01-09,2023,1,9,2,1,0,0
2023-01-10,2023,1,10,2,1,0,0
2023-01-11,2023,1,11,2,1,0,0
2023-01-12,2023,1,12,2,1,0,0
2023-01-13,2023,1,13,2,1,0,0
2023-01-14,2023,1,14,2,1,1,0
2023-01-15,2023,1,15,2,1,1,0
2023-01-16,2023,1,16,3,1,0,0
2023-01-17,2023,1,17,3,1,0,0
2023-01-18,2023,1,18,3,1,0,0
2023-01-19,2023,1,19,3,1,0,0
2023-01-20,2023,1,20,3,1,0,0
2023-01-21,2023,1,21,3,1,1,0
2023-01-22,2023,1,22,3,1,1,0
2023-01-23,2023,1,23,4,1,0,0
2023-01-24,2023,1,24,4,1,0,0
2023-01-25,2023,1,25,4,1,0,0
2023-01-26,2023,1,26,4,1,0,0
2023-01-27,2023,1,27,4,1,0,0
2023-01-28,2023,1,28,4,1,1,0
2023-01-29,2023,1,29,4,1,1,0
2023-01-30,2023,1,30,5,1,0,0
2023-01-31,2023,1,31,5,1,0,0
2023-02-01,2023,2,1,5,1,0,0
2023-02-02,2023,2,2,5,1,0,0
2023-02-03,2023,2,3,5,1,0,0
2023-02-04,2023,2,4,5,1,1,0
2023-02-05,2023,2,5,5,1,1,0
2023-02-06,2023,2,6,6,1,0,0
2023-02-07,2023,2,7,6,1,0,0
2023-02-08,2023,2,8,6,1,0,0
2023-02-09,2023,2,9,6,1,0,0
2023-02-10,2023,2,10,6,1,0,0
2023-02-11,2023,2,11,6,1,1,0
2023-02-12,2023,2,12,6,1,1,0
2023-02-13,2023,2,13,7,1,0,0
2023-02-14,2023,2,14,7,1,0,0
2023-02-15,2023,2,15,7,1,0,0
2023-02-16,2023,2,16,7,1,0,0
2023-02-17,2023,2,17,7,1,0,0
2023-02-18,2023,2,18,7,1,1,0
2023-02-19,2023,2,19,7,1,1,0
2023-02-20,2023,2,20,8,1,0,0
2023-02-21,2023,2,21,8,1,0,0
2023-02-22,2023,2,22,8,1,0,0
2023-02-23,2023,2,23,8,1,0,0
2023-02-24,2023,2,24,8,1,0,0
2023-02-25,2023,2,25,8,1,1,0
2023-02-26,2023,2,26,8,1,1,0
2023-02-27,2023,2,27,9,1,0,0
2023-02-28,2023,2,28,9,1,0,0
2023-03-01,2023,3,1,9,1,0,0
2023-03-02,2023,3,2,9,1,0,0
2023-03-03,2023,3,3,9,1,0,0
2023-03-04,2023,3,4,9,1,1,0
2023-03-05,2023,3,5,9,1,1,0
2023-03-06,2023,3,6,10,1,0,0
2023-03-07,2023,3,7,10,1,0,0
2023-03-08,2023,3,8,10,1,0,0
2023-03-09,2023,3,9,10,1,0,0
2023-03-10,2023,3,10,10,1,0,0
2023-03-11,2023,3,11,10,1,1,0
2023-03-12,2023,3,12,10,1,1,0
2023-03-13,2023,3,13,11,1,0,0
2023-03-14,2023,3,14,11,1,0,0
2023-03-15,2023,3,15,11,1,0,0
2023-03-16,2023,3,16,11,1,0,0
2023-03-17,2023,3,17,11,1,0,0
2023-03-18,2023,3,18,11,1,1,0
2023-03-19,2023,3,19,11,1,1,0
2023-03-20,2023,3,20,12,1,0,0
2023-03-21,2023,3,21,12,1,0,0
2023-03-22,2023,3,22,12,1,0,0
2023-03-23,2023,3,23,12,1,0,0
2023-03-24,2023,3,24,12,1,0,0
2023-03-25,2023,3,25,12,1,1,0
2023-03-26,2023,3,26,12,1,1,0
2023-03-27,2023,3,27,13,1,0,0
2023-03-28,2023,3,28,13,1,0,0
2023-03-29,2023,3,29,13,1,0,0
2023-03-30,2023,3,30,13,1,0,0
2023-03-31,2023,3,31,13,1,0,0
2023-04-01,2023,4,1,13,2,1,0
2023-04-02,2023,4,2,13,2,1,0
2023-04-03,2023,4,3,14,2,0,0
2023-04-04,2023,4,4,14,2,0,0
2023-04-05,2023,4,5,14,2,0,0
2023-04-06,2023,4,6,14,2,0,0
2023-04-07,2023,4,7,14,2,0,0
2023-04-08,2023,4,8,14,2,1,0
2023-04-09,2023,4,9,14,2,1,0
2023-04-10,2023,4,10,15,2,0,0
2023-04-11,2023,4,11,15,2,0,0
2023-04-12,2023,4,12,15,2,0,0
2023-04-13,2023,4,13,15,2,0,0
2023-04-14,2023,4,14,15,2,0,0
2023-04-15,2023,4,15,15,2,1,0
2023-04-16,2023,4,16,15,2,1,0
2023-04-17,2023,4,17,16,2,0,0
2023-04-18,2023,4,18,16,2,0,0
2023-04-19,2023,4,19,16,2,0,0
2023-04-20,2023,4,20,16,2,0,0
2023-04-21,2023,4,21,16,2,0,0
2023-04-22,2023,4,22,16,2,1,0
2023-04-23,2023,4,23,16,2,1,0
2023-04-24,2023,4,24,17,2,0,0
2023-04-25,2023,4,25,17,2,0,0
2023-04-26,2023,4,26,17,2,0,0
2023-04-27,2023,4,27,17,2,0,0
2023-04-28,2023,4,28,17,2,0,0
2023-04-29,2023,4,29,17,2,1,0
2023-04-30,2023,4,30,17,2,1,0
2023-05-01,2023,5,1,18,2,0,0
2023-05-02,2023,5,2,18,2,0,0
2023-05-03,2023,5,3,18,2,0,0
2023-05-04,2023,5,4,18,2,0,0
2023-05-05,2023,5,5,18,2,0,0
2023-05-06,2023,5,6,18,2,1,0
2023-05-07,2023,5,7,18,2,1,0
2023-05-08,2023,5,8,19,2,0,0
2023-05-09,2023,5,9,19,2,0,0
2023-05-10,2023,5,10,19,2,0,0
2023-05-11,2023,5,11,19,2,0,0
2023-05-12,2023,5,12,19,2,0,0
2023-05-13,2023,5,13,19,2,1,0
2023-05-14,2023,5,14,19,2,1,0
2023-05-15,2023,5,15,20,2,0,0
2023-05-16,2023,5,16,20,2,0,0
2023-05-17,2023,5,17,20,2,0,0
2023-05-18,2023,5,18,20,2,0,0
2023-05-19,2023,5,19,20,2,0,0
2023-05-20,2023,5,20,20,2,1,0
2023-05-21,2023,5,21,20,2,1,0
2023-05-22,2023,5,22,21,2,0,0
2023-05-23,2023,5,23,21,2,0,0
2023-05-24,2023,5,24,21,2,0,0
2023-05-25,2023,5,25,21,2,0,0
2023-05-26,2023,5,26,21,2,0,0
2023-05-27,2023,5,27,21,2,1,0
2023-05-28,2023,5,28,21,2,1,0
2023-05-29,2023,5,29,22,2,0,0
2023-05-30,2023,5,30,22,2,0,0
2023-05-31,2023,5,31,22,2,0,0
2023-06-01,2023,6,1,22,2,0,0
2023-06-02,2023,6,2,22,2,0,0
2023-06-03,2023,6,3,22,2,1,0
2023-06-04,2023,6,4,22,2,1,0
2023-06-05,2023,6,5,23,2,0,0
2023-06-06,2023,6,6,23,2,0,0
2023-06-07,2023,6,7,23,2,0,0
2023-06-08,2023,6,8,23,2,0,0
2023-06-09,2023,6,9,23,2,0,0
2023-06-10,2023,6,10,23,2,1,0
2023-06-11,2023,6,11,23,2,1,0
2023-06-12,2023,6,12,24,2,0,0
2023-06-13,2023,6,13,24,2,0,0
2023-06-14,2023,6,14,24,2,0,0
2023-06-15,2023,6,15,24,2,0,0
2023-06-16,2023,6,16,24,2,0,0
2023-06-17,2023,6,17,24,2,1,0
2023-06-18,2023,6,18,24,2,1,0
2023-06-19,2023,6,19,25,2,0,0
2023-06-20,2023,6,20,25,2,0,0
2023-06-21,2023,6,21,25,2,0,0
2023-06-22,2023,6,22,25,2,0,0
2023-06-23,2023,6,23,25,2,0,0
