donor_id,gender,age,income_bracket,employment_status,signup_channel,home_center_id,distance_to_center_km,first_donation_date
1,M,41,100k+,employed,walk-in,12,8.21,2024-09-16
2,Other,66,100k+,employed,online,32,1.53,2024-02-07
3,F,61,30-60k,unemployed,walk-in,11,2.38,2024-09-01
4,F,28,60-100k,student,online,6,4.72,2024-10-21
5,M,53,<30k,employed,online,32,11.41,2024-04-17
6,M,48,100k+,employed,walk-in,26,9.13,2024-03-28
7,F,26,30-60k,student,referral,20,10.06,2024-08-09
8,F,53,100k+,unemployed,online,25,10.78,2023-12-04
9,F,52,60-100k,employed,walk-in,33,2.36,2024-01-27
10,F,34,30-60k,employed,walk-in,22,8.17,2024-10-31
11,Other,62,30-60k,retired,online,21,41.38,2024-03-28
12,M,65,30-60k,employed,walk-in,17,8.95,2023-06-07
13,F,23,30-60k,employed,referral,31,3.98,2023-09-13
14,F,35,30-60k,retired,walk-in,40,1.88,2024-09-17
15,F,39,30-60k,employed,online,26,15.33,2023-06-25
16,F,59,60-100k,student,referral,13,17.28,2023-02-05
17,F,18,<30k,employed,online,23,8.78,2023-02-20
18,M,39,30-60k,employed,online,6,5.96,2024-03-19
19,M,25,60-100k,employed,walk-in,4,6.05,2024-10-17
20,Other,59,30-60k,student,online,28,11.49,2023-12-12
21,M,40,30-60k,unemployed,online,1,1.8,2024-08-23
22,F,18,100k+,student,walk-in,22,6.31,2023-03-17
23,F,68,60-100k,employed,online,5,6.65,2024-03-28
24,M,43,60-100k,student,online,30,5.01,2024-06-05
25,F,53,<30k,employed,walk-in,32,11.23,2023-12-02
26,F,66,100k+,unemployed,referral,12,15.69,2024-01-15
27,M,68,60-100k,unemployed,referral,40,5.57,2024-08-24
28,M,68,30-60k,employed,walk-in,11,9.75,2024-02-24
29,M,53,<30k,student,referral,35,1.3,2024-10-25
30,F,49,100k+,employed,walk-in,25,2.68,2023-09-30
31,F,37,60-100k,employed,referral,36,6.7,2024-01-19
32,F,64,<30k,employed,walk-in,21,4.97,2023-05-31
33,F,56,<30k,employed,online,31,11.23,2024-05-06
34,F,55,<30k,student,online,27,5.65,2023-12-05
35,F,62,30-60k,student,referral,25,9.92,2023-03-11
36,F,36,60-100k,unemployed,online,26,4.48,2023-08-08
37,F,37,<30k,employed,walk-in,1,1.14,2023-12-14
38,Other,66,<30k,employed,online,32,1.11,2023-08-01
39,Other,54,30-60k,unemployed,online,14,12.83,2024-05-27
40,F,20,100k+,employed,online,32,7.44,2024-01-08
41,M,45,60-100k,employed,online,28,5.03,2023-02-10
42,M,44,60-100k,employed,online,20,1.88,2024-06-30
43,F,35,30-60k,unemployed,referral,10,13.54,2023-08-30
44,F,22,<30k,employed,referral,32,4.96,2024-11-19
45,F,51,<30k,employed,online,6,21.47,2024-12-09
46,Other,55,100k+,unemployed,walk-in,10,5.75,2023-01-01
47,F,30,<30k,student,walk-in,34,13.04,2023-03-13
48,M,51,30-60k,student,online,1,29.97,2024-02-05
49,M,64,30-60k,student,walk-in,11,25.58,2024-02-26
50,F,51,30-60k,unemployed,online,27,10.06,2024-04-25
51,F,47,60-100k,student,referral,4,5.73,2024-02-05
52,F,37,30-60k,retired,online,13,11.0,2023-04-21
53,M,33,<30k,employed,walk-in,40,2.25,2023-10-08
54,F,20,30-60k,retired,walk-in,19,5.49,2024-06-17
55,M,18,30-60k,employed,referral,14,17.07,2023-03-14
56,M,64,60-100k,employed,referral,17,15.13,2023-09-10
57,Other,64,30-60k,employed,walk-in,23,4.94,2024-01-21
58,F,31,<30k,employed,walk-in,23,48.19,2024-05-20
59,M,68,<30k,employed,online,10,17.85,2023-09-30
60,M,43,30-60k,employed,online,25,17.17,2023-04-21
61,F,39,30-60k,student,online,19,13.3,2024-09-04
62,M,43,60-100k,employed,online,6,2.17,2024-12-10
63,M,65,<30k,employed,online,31,12.52,2023-05-17
64,M,68,<30k,unemployed,referral,6,11.11,2024-10-07
65,Other,47,<30k,unemployed,referral,15,7.8,2023-01-26
66,M,61,<30k,retired,walk-in,20,1.62,2023-03-31
67,F,55,30-60k,employed,online,3,8.65,2024-11-20
68,M,22,<30k,retired,online,2,35.24,2023-04-05
69,F,61,30-60k,retired,referral,34,5.01,2024-06-30
70,F,39,<30k,student,referral,37,5.57,2023-01-05
71,M,31,30-60k,employed,referral,25,5.84,2023-10-22
72,F,49,30-60k,employed,walk-in,15,1.17,2024-09-07
73,M,56,<30k,retired,walk-in,8,16.57,2024-05-14
74,F,46,30-60k,student,walk-in,29,5.71,2023-10-16
75,M,39,60-100k,employed,walk-in,38,3.96,2023-08-16
76,M,69,30-60k,student,online,4,16.23,2023-10-19
77,F,44,30-60k,employed,referral,38,16.33,2023-01-23
78,M,63,60-100k,retired,online,18,7.09,2024-04-04
79,M,65,60-100k,retired,walk-in,28,8.64,2023-02-20
80,F,57,60-100k,retired,online,37,8.7,2024-10-22
81,M,26,<30k,student,walk-in,35,17.58,2024-06-20
82,F,55,30-60k,employed,walk-in,17,5.79,2023-07-01
83,M,24,<30k,employed,online,29,8.88,2024-10-23
84,M,67,60-100k,employed,referral,20,4.17,2024-07-14
85,M,49,<30k,student,online,19,7.32,2024-10-31
86,M,62,30-60k,student,walk-in,1,6.79,2023-04-23
87,M,55,60-100k,employed,online,39,22.3,2024-04-02
88,F,51,30-60k,employed,online,7,7.77,2024-03-18
89,F,25,<30k,student,online,33,8.53,2023-09-21
90,M,49,100k+,unemployed,referral,16,24.12,2023-01-07
91,F,50,<30k,employed,online,36,3.38,2023-03-23
92,F,64,60-100k,employed,referral,3,1.78,2023-09-13
93,F,51,100k+,employed,referral,24,12.89,2023-06-07
94,F,63,30-60k,employed,online,17,10.48,2023-12-25
95,M,39,60-100k,retired,walk-in,34,1.45,2023-03-16
96,F,38,60-100k,employed,online,37,16.9,2023-12-08
97,M,48,100k+,unemployed,walk-in,7,11.77,2024-02-05
98,M,45,60-100k,employed,online,1,9.6,2023-05-29
99,F,28,30-60k,student,online,35,4.35,2023-02-24
100,F,39,60-100k,employed,online,20,10.3,2024-05-21
101,F,51,60-100k,employed,online,40,6.65,2023-08-05
102,F,57,30-60k,employed,referral,37,16.45,2023-01-17
103,F,66,<30k,employed,referral,8,5.05,2023-03-22
104,F,33,60-100k,employed,online,15,6.64,2023-10-15
105,F,24,100k+,unemployed,online,7,9.15,2024-09-20
106,F,68,100k+,retired,referral,18,20.52,2024-06-09
107,F,52,30-60k,employed,referral,40,0.5,2023-12-30
108,F,66,30-60k,unemployed,walk-in,33,10.18,2023-11-07
109,M,51,<30k,student,walk-in,32,15.5,2023-02-08
110,M,46,60-100k,employed,online,16,5.78,2024-01-24
111,F,66,<30k,employed,online,4,21.68,2023-10-20
112,M,18,100k+,employed,online,24,4.81,2024-03-15
113,F,41,30-60k,unemployed,online,4,14.65,2024-10-21
114,F,68,30-60k,employed,online,26,11.74,2024-12-27
115,F,52,30-60k,employed,online,35,12.06,2023-03-03
116,Other,20,60-100k,employed,online,25,22.85,2024-09-08
117,M,45,30-60k,employed,referral,9,26.13,2024-06-20
118,F,51,30-60k,employed,online,5,8.63,2024-11-18
119,F,22,100k+,employed,referral,29,4.89,2023-11-19
120,M,51,30-60k,student,walk-in,24,12.76,2024-07-24
121,M,30,60-100k,unemployed,walk-in,27,17.73,2023-01-07
122,F,62,100k+,employed,referral,10,5.3,2023-03-23
123,F,31,60-100k,employed,online,13,13.18,2023-04-23
124,F,57,30-60k,unemployed,walk-in,35,6.06,2023-08-21
125,Other,45,60-100k,retired,online,4,4.71,2024-04-28
126,M,44,<30k,student,walk-in,1,5.09,2024-01-16
127,M,46,<30k,employed,online,11,27.75,2024-06-21
128,M,51,100k+,employed,online,39,19.84,2023-05-10
129,F,37,60-100k,employed,referral,28,9.05,2023-10-30
130,M,37,30-60k,employed,referral,1,18.33,2023-06-12
131,M,42,60-100k,unemployed,online,27,3.66,2024-03-05
132,M,46,60-100k,student,referral,7,3.6,2024-01-13
133,F,63,30-60k,employed,walk-in,20,10.6,2024-11-08
134,M,39,30-60k,employed,walk-in,11,28.51,2024-05-09
135,F,49,60-100k,student,referral,8,6.09,2024-11-21
136,M,34,<30k,unemployed,online,22,4.99,2023-08-30
137,M,19,30-60k,student,online,13,2.91,2023-04-13
