pricing_config_id,center_id,effective_start_date,effective_end_date,base_fee_level,bonus_scheme,elasticity_segment
1_1,1,2023-01-01,2023-12-31,medium,frequency_bonus,-0.689
1_2,1,2024-01-01,2024-12-31,medium,new_donor_bonus,-0.914
2_1,2,2023-01-01,2023-12-31,medium,none,-0.716
2_2,2,2024-01-01,2024-12-31,high,targeted_bonus,-0.8
3_1,3,2023-01-01,2023-12-31,medium,targeted_bonus,-0.702
3_2,3,2024-01-01,2024-12-31,low,new_donor_bonus,-0.85
4_1,4,2023-01-01,2023-12-31,high,new_donor_bonus,-1.004
4_2,4,2024-01-01,2024-12-31,medium,none,-1.307
5_1,5,2023-01-01,2023-12-31,high,targeted_bonus,-0.612
5_2,5,2024-01-01,2024-12-31,medium,frequency_bonus,-1.136
6_1,6,2023-01-01,2023-12-31,high,none,-0.956
6_2,6,2024-01-01,2024-12-31,high,frequency_bonus,-1.005
7_1,7,2023-01-01,2023-12-31,low,new_donor_bonus,-0.533
7_2,7,2024-01-01,2024-12-31,low,targeted_bonus,-1.07
8_1,8,2023-01-01,2023-12-31,low,none,-0.652
8_2,8,2024-01-01,2024-12-31,medium,none,-0.85
9_1,9,2023-01-01,2023-12-31,high,frequency_bonus,-0.46
9_2,9,2024-01-01,2024-12-31,high,targeted_bonus,-0.851
10_1,10,2023-01-01,2023-12-31,medium,frequency_bonus,-1.073
10_2,10,2024-01-01,2024-12-31,medium,none,-0.918
11_1,11,2023-01-01,2023-12-31,low,targeted_bonus,-0.808
11_2,11,2024-01-01,2024-12-31,medium,none,-1.365
12_1,12,2023-01-01,2023-12-31,low,none,-1.059
12_2,12,2024-01-01,2024-12-31,low,new_donor_bonus,-0.59
13_1,13,2023-01-01,2023-12-31,low,none,-0.785
13_2,13,2024-01-01,2024-12-31,low,targeted_bonus,-0.761
14_1,14,2023-01-01,2023-12-31,medium,new_donor_bonus,-0.82
14_2,14,2024-01-01,2024-12-31,medium,new_donor_bonus,-1.345
15_1,15,2023-01-01,2023-12-31,medium,frequency_bonus,-0.816
15_2,15,2024-01-01,2024-12-31,medium,new_donor_bonus,-1.488
16_1,16,2023-01-01,2023-12-31,medium,frequency_bonus,-0.493
16_2,16,2024-01-01,2024-12-31,medium,frequency_bonus,-0.586
17_1,17,2023-01-01,2023-12-31,medium,none,-0.429
17_2,17,2024-01-01,2024-12-31,high,targeted_bonus,-0.535
18_1,18,2023-01-01,2023-12-31,high,new_donor_bonus,-0.833
18_2,18,2024-01-01,2024-12-31,high,new_donor_bonus,-0.809
19_1,19,2023-01-01,2023-12-31,medium,frequency_bonus,-0.574
19_2,19,2024-01-01,2024-12-31,high,frequency_bonus,-0.758
20_1,20,2023-01-01,2023-12-31,medium,none,-0.779
20_2,20,2024-01-01,2024-12-31,medium,none,-0.932
21_1,21,2023-01-01,2023-12-31,medium,frequency_bonus,-0.952
21_2,21,2024-01-01,2024-12-31,medium,none,-0.876
22_1,22,2023-01-01,2023-12-31,low,new_donor_bonus,-0.876
22_2,22,2024-01-01,2024-12-31,medium,frequency_bonus,-0.893
23_1,23,2023-01-01,2023-12-31,low,new_donor_bonus,-1.08
23_2,23,2024-01-01,2024-12-31,medium,frequency_bonus,-0.842
24_1,24,2023-01-01,2023-12-31,low,new_donor_bonus,-0.805
24_2,24,2024-01-01,2024-12-31,medium,frequency_bonus,-0.891
25_1,25,2023-01-01,2023-12-31,low,frequency_bonus,-0.409
25_2,25,2024-01-01,2024-12-31,medium,none,-0.74
26_1,26,2023-01-01,2023-12-31,medium,none,-0.865
26_2,26,2024-01-01,2024-12-31,high,frequency_bonus,-0.932
27_1,27,2023-01-01,2023-12-31,high,new_donor_bonus,-0.539
27_2,27,2024-01-01,2024-12-31,high,new_donor_bonus,-0.842
28_1,28,2023-01-01,2023-12-31,medium,frequency_bonus,-0.55
28_2,28,2024-01-01,2024-12-31,medium,new_donor_bonus,-1.185
29_1,29,2023-01-01,2023-12-31,low,new_donor_bonus,-0.912
29_2,29,2024-01-01,2024-12-31,high,none,-0.815
30_1,30,2023-01-01,2023-12-31,low,none,-0.824
30_2,30,2024-01-01,2024-12-31,medium,none,-0.715
31_1,31,2023-01-01,2023-12-31,medium,none,-0.776
31_2,31,2024-01-01,2024-12-31,high,none,-0.974
32_1,32,2023-01-01,2023-12-31,high,frequency_bonus,-1.228
32_2,32,2024-01-01,2024-12-31,high,targeted_bonus,-1.128
33_1,33,2023-01-01,2023-12-31,low,targeted_bonus,-0.819
33_2,33,2024-01-01,2024-12-31,medium,none,-0.807
34_1,34,2023-01-01,2023-12-31,medium,frequency_bonus,-0.961
34_2,34,2024-01-01,2024-12-31,medium,none,-0.933
35_1,35,2023-01-01,2023-12-31,medium,frequency_bonus,-0.935
35_2,35,2024-01-01,2024-12-31,medium,new_donor_bonus,-0.717
36_1,36,2023-01-01,2023-12-31,medium,frequency_bonus,-0.957
36_2,36,2024-01-01,2024-12-31,medium,new_donor_bonus,-0.977
37_1,37,2023-01-01,2023-12-31,low,none,-0.501
37_2,37,2024-01-01,2024-12-31,high,none,-0.695
38_1,38,2023-01-01,2023-12-31,high,none,-0.754
38_2,38,2024-01-01,2024-12-31,medium,new_donor_bonus,-1.148
39_1,39,2023-01-01,2023-12-31,medium,frequency_bonus,-0.766
39_2,39,2024-01-01,2024-12-31,medium,new_donor_bonus,-0.851
40_1,40,2023-01-01,2023-12-31,low,none,-0.672
40_2,40,2024-01-01,2024-12-31,low,frequency_bonus,-1.296
